symbol,days,sharpe_net,sharpe_gross
BNXUSDT,1452,0.36664127698291754,0.38476859271785724
KSMUSDT,1987,0.366142975346323,0.4713286711697517
DOTUSDT,2040,0.3599567814832746,0.5133216931045405
AGLDUSDT,970,0.3528414864157198,0.3871037610559792
SUIUSDT,1056,0.35274969858659205,0.4134276059355403
LINKUSDT,2258,0.3485035000150914,0.45270863229125724
BLURUSDT,1061,0.33879220994020537,0.39188898547777556
RONINUSDT,778,0.33824420725865245,0.5240824809031465
ARBUSDT,1097,0.33809383954868055,0.37899255528564324
AGIXUSDT,1132,0.33602434565463457,0.39076403226497514
BADGERUSDT,866,0.32387997060822143,0.38120618781030413
C98USDT,1674,0.31904584064289065,0.3623005553291494
PORTALUSDT,754,0.3184460809126349,0.29052972001589494
MEMEUSDT,872,0.3077879294310846,0.40540490021353615
ARPAUSDT,1618,0.30361900171743345,0.3632843868054475
ATOMUSDT,2237,0.301349323326558,0.4837277020255016
ONEUSDT,1832,0.2896557706917945,0.32779390706194517
PIXELUSDT,764,0.28856393905536937,0.30088928649484836
PERPUSDT,1045,0.2871902094550623,0.3760353465117751
MKRUSDT,2049,0.2856680195150448,0.3943770568754523
XEMUSDT,1847,0.2844680230689094,0.31107585136471566
1000SHIBUSDT,1779,0.28435236016548077,0.3418594939212131
UMAUSDT,993,0.2781602215268995,0.3090419470822896
APTUSDT,1253,0.2778573055596972,0.41075241492541364
FLOWUSDT,1499,0.2766517244243346,0.3977739588979358
ICXUSDT,2016,0.2708509341448072,0.40443576457540775
SLPUSDT,875,0.2678788382170742,0.3326902815157103
ZETAUSDT,781,0.2626921321173284,0.322428909972496
CELOUSDT,1640,0.2597445338268741,0.3084985205435407
ALGOUSDT,2107,0.25790023520757244,0.33254457061163967
PHBUSDT,1132,0.24988345393007683,0.3003177558853751
XRPUSDT,2269,0.2428405059012573,0.35628469226644166
RLCUSDT,2062,0.23948422958366666,0.35849849730720146
STRKUSDT,763,0.23947917334547336,0.2651311942089271
MAVUSDT,999,0.2379759925255487,0.29859125620340776
OXTUSDT,956,0.23180718683828963,0.3547796061517175
SCUSDT,1807,0.23030696984840016,0.2769968921496493
CKBUSDT,1120,0.21567185018813698,0.2656482428797366
BLZUSDT,2014,0.21421431258442084,0.22306906364360535
BATUSDT,2231,0.21323813833409513,0.3094117456476497
TUSDT,1147,0.21273182019402945,0.27610654887120134
ARUSDT,1639,0.2104280696254697,0.21967051268977036
HBARUSDT,1833,0.2058593419751123,0.2721917132615491
NTRNUSDT,861,0.2011703535171957,0.1969818782320033
JASMYUSDT,1435,0.19702974899115833,0.2707214928174868
FILUSDT,1985,0.19109510397217133,0.2375474079733514
FETUSDT,1163,0.19012294803046972,0.2835999958049572
DEFIUSDT,2034,0.18915187903582506,0.3719155811220535
BCHUSDT,2275,0.18750198922826022,0.2811631892079514
OMGUSDT,2091,0.18354335014387788,0.18412865498055359
LUNA2USDT,1292,0.1829052147658851,0.20126368072175063
ZILUSDT,2105,0.17940640374219474,0.24954826570393093
HIGHUSDT,1142,0.17758413834764727,0.22496645538502202
STRAXUSDT,896,0.17651417838698796,0.3356786583671216
ALICEUSDT,1835,0.17523176643544325,0.20801004821204278
TIAUSDT,875,0.16526964813233397,0.2530251541756505
CHRUSDT,1838,0.16005183124038488,0.20588767159704305
TOKENUSDT,872,0.15372968471892665,0.2634324392691338
MOVRUSDT,819,0.14620508199030427,0.1532222008725582
IDUSDT,1097,0.14568992317578822,0.2398824490667947
HOTUSDT,1820,0.14185171728107954,0.18369893911961674
CELRUSDT,1821,0.14087309308029117,0.20898880610700246
GLMRUSDT,911,0.13552188355175246,0.22215322853845998
BONDUSDT,891,0.13397634633930025,0.17695533424010854
TOMOUSDT,1204,0.12984196387824437,0.21006125360384043
DUSKUSDT,1538,0.12937367862589486,0.10702283262570772
ROSEUSDT,1540,0.12603905903454496,0.16831072533674096
HOOKUSDT,1157,0.12592061654756273,0.12080623294227408
QTUMUSDT,2193,0.12426214220385308,0.23934245899921588
SUSHIUSDT,2027,0.10942013098495212,0.16556592044928628
POWRUSDT,880,0.1082989146740338,0.09302707225036917
ICPUSDT,1779,0.10773087511722683,0.16535997019365717
NEARUSDT,1986,0.10228403588612696,0.1831085092022308
