date,ruined,equity,start_equity,gross_pnl,cost,funding,net_pnl,gross_return,net_return,traded_notional,gross_exposure,net_exposure,long_pnl,short_pnl,n_positions,n_live,multiplier,ex_ante_vol,ex_ante_vol_full_signal,held_ex_ante_vol,target_tracking_error
2020-05-28,False,100069.1698052496,99973.63913443209,95.80834268893406,0.018433583744521725,0.25923828767202856,95.5306708175175,0.0009583360525678468,0.0009555586016935901,18.433583744521727,2950.4298236374016,2204.020846188386,105.2688618255086,-9.46051913657454,10,10,0.0057542761634465376,3.1601825338579346,9.52229240724034,0.02054051431878689,0.004448596065806283
2020-05-29,False,100057.64813454314,100069.1698052496,-11.136547302916508,0.007111080489430947,0.3780123230680442,-11.521670706473982,-0.00011128849499391257,-0.00011513706697973982,7.111080489430947,3058.0481241100533,2292.7181083878886,-12.759591796333659,1.6230444934171515,10,10,0.0057542761634465376,3.3665920609588027,9.517990132649318,0.021142213826130983,0.00394357598498585
2020-05-30,False,100187.78419529457,100057.64813454314,130.74697108950414,0.01669407382148148,0.5942162642416127,130.13606075144105,0.0013067164132590286,0.0013006108296334607,16.69407382148148,3060.3595616417842,2298.2756349064534,154.18792126199227,-23.440950172488105,10,10,0.0057542761634465376,3.5180574677712,9.51799013264932,0.021031097609047453,0.0035767585690785106
2020-05-31,False,100105.36467507026,100187.78419529457,-81.41055956227171,0.08507681528543547,0.92388384675048,-82.41952022430763,-0.0008125796993731223,-0.0008226503948190777,85.07681528543546,3215.0966749927925,2472.7393639735683,-99.32876823400683,17.918208671735126,10,10,0.0057542761634465376,4.130862964409842,9.517990132649318,0.022779597128165855,0.003977741227008012
2020-06-01,False,100277.04951243741,100105.36467507026,172.31139447632722,0.02824564401725499,0.5983114651571052,171.68483736715285,0.001721300302292778,0.0017150413259511194,28.24564401725499,3109.7393783060807,2419.5744484285515,193.10056934107467,-20.789174864747473,10,10,0.0057542761634465376,4.267142434732205,9.517990132649318,0.022383045208325396,0.004059732178577754
2020-06-02,False,100206.27829101188,100277.04951243741,-66.51457491978437,0.1994246439115648,4.057221861837181,-70.77122142553311,-0.0006633080574586963,-0.0007057569181545905,199.42464391156483,3140.5990802817205,2779.1186311348474,-70.74197070836266,4.227395788578293,10,10,0.0057542761634465376,4.852398067917468,9.517990132649318,0.025869332994498402,0.004379610209468106
2020-06-03,False,100267.86573540956,100206.27829101188,62.9458651735763,0.10558646287418647,1.2528343130198087,61.587444397682304,0.0006281628880654906,0.0006146066438953502,105.58646287418645,3048.654926152013,2818.1905190892494,63.93261273537231,-0.9867475617960091,10,10,0.0057542761634465376,5.071799483686854,9.51799013264932,0.026521905030737137,0.004552527843629986
2020-06-04,False,100251.62030503491,100267.86573540956,-14.349747639897984,0.6100501528446409,1.2856325819128056,-16.24543037465543,-0.00014311412270172992,-0.00016202030686007074,610.0501528446409,3698.331615624117,2522.453461547283,-7.704474714145725,-6.645272925752259,10,10,0.0057542761634465376,4.5224865627171615,9.517990132649318,0.02379278080947368,0.004442107947722548
2020-06-05,False,100151.01761668833,100251.62030503491,-93.59813037179353,3.461183882204452,3.54337409258194,-100.60268834657992,-0.0009336320957906031,-0.0010035018690019853,3461.183882204452,5399.784615542239,4938.5968438519785,-92.46273944822326,-1.1353909235702786,14,14,0.0057542761634465376,8.833781952031414,13.08971069700641,0.04767300560876005,0.007175724289910204
2020-06-06,False,100180.72586061998,100151.01761668833,34.27898723469265,0.3154023163811852,4.255340986663738,29.708243931647722,0.00034227297985018864,0.00029663446901110057,315.4023163811852,5589.651668624569,5160.40102986137,31.962007467724362,2.3169797669682852,14,14,0.0057542761634465376,9.069118799329,13.089710697006408,0.048403876150612174,0.007017333592561382
