group,label,days,start,end,total_return,cagr,ann_vol,sharpe_net,sharpe_gross,max_drawdown,design_sharpe_net,holdout_sharpe_net,design_total_return,holdout_total_return,ann_turnover,avg_gross_exposure,cost_drag_ann,funding_drag_ann,long_pnl,short_pnl,hit_rate,avg_positions,avg_live,ruined,ruin_date,avg_held_ex_ante_vol,avg_target_tracking_error
target,vol_target_0.2,2395,2020-01-01,2026-07-22,2.4208230602165988,0.2061517497028693,0.1991373684128463,1.0405665930198096,1.1540303026778966,-0.30129577671601226,0.682845852916539,1.5388579742410073,0.5603616417735964,1.1923270661333967,17.13170532068179,0.41847572718133974,0.01713170532068179,0.00011809141049022634,188731.53662884852,74638.86234102258,0.48768267223382045,145.0204592901879,143.28434237995825,False,,0.1948511855004026,0.047981701557964974
target,vol_target_0.4,2395,2020-01-01,2026-07-22,7.924764736240107,0.3959560413488734,0.3971472940862552,1.0372855751804002,1.1502210921223965,-0.5535023298658239,0.6821068712567826,1.5329712383024934,1.1086993626725605,3.232355211095089,35.474810403701724,0.8330710497160143,0.03547481040370173,-0.013155164371561175,485453.78142657643,355766.2595110758,0.4868475991649269,144.980375782881,143.28434237995825,False,,0.3884441431489125,0.09577047165836619
clusters,clusters_2,2395,2020-01-01,2026-07-22,1.2251376271440044,0.12963327905421362,0.21540184946508495,0.6694854186956851,0.8415460501942875,-0.26297404099356836,0.6865096145518187,0.6421801539183206,0.6865514518243883,0.3193416807634373,10.42459332871642,0.4179157721406338,0.010424593328716418,0.02664282157977304,162652.30523336856,1709.03905984449,0.48434237995824636,148.37828810020878,143.28434237995825,False,,0.19519755733664307,0.038420286903832916
clusters,clusters_4,2395,2020-01-01,2026-07-22,1.0771135865093195,0.1178440169226973,0.20368814742378777,0.6477621375229339,0.801942958616418,-0.24821552024363946,0.5799565299739026,0.7507586272075341,0.47338179699695404,0.40975922923908215,13.353481289019578,0.41782679966114644,0.01335348128901958,0.01860171475071343,116021.1900977797,23580.80219819554,0.48183716075156574,147.5837160751566,143.28434237995825,False,,0.19674962268719431,0.04333758072772261
clusters,clusters_8,2395,2020-01-01,2026-07-22,2.4208230602165988,0.2061517497028693,0.1991373684128463,1.0405665930198096,1.1540303026778966,-0.30129577671601226,0.682845852916539,1.5388579742410073,0.5603616417735964,1.1923270661333967,17.13170532068179,0.41847572718133974,0.01713170532068179,0.00011809141049022634,188731.53662884852,74638.86234102258,0.48768267223382045,145.0204592901879,143.28434237995825,False,,0.1948511855004026,0.047981701557964974
clusters,clusters_16,2395,2020-01-01,2026-07-22,3.2723341797637016,0.24771071733112127,0.20199784027503004,1.1964728785879115,1.3039279665151102,-0.2214678573445723,0.9539296270579267,1.5246907118471975,0.9040762426367706,1.2437831448636532,19.25219937772766,0.4616216950410476,0.019252199377727663,-0.007173075346297129,200811.48802649113,142412.4886276073,0.4981210855949896,99.10563674321503,143.28434237995825,False,,0.19457900286494942,0.054658029115119695
universe,volume_floor_1m,2395,2020-01-01,2026-07-22,2.7569361810827577,0.22350332479659052,0.19814139451291146,1.116990496604413,1.300803445993685,-0.20862452936828924,1.1303863781476458,1.0997616783540625,1.2073517380006078,0.7020106566639646,15.879044766640765,0.4978837460429124,0.015879044766640767,0.022577399435297133,332946.9196069313,294.3361832631308,0.4847599164926931,193.87098121085594,189.29102296450938,False,,0.1939587657616966,0.04926581427040565
universe,volume_floor_5m,2395,2020-01-01,2026-07-22,2.4208230602165988,0.2061517497028693,0.1991373684128463,1.0405665930198096,1.1540303026778966,-0.30129577671601226,0.682845852916539,1.5388579742410073,0.5603616417735964,1.1923270661333967,17.13170532068179,0.41847572718133974,0.01713170532068179,0.00011809141049022634,188731.53662884852,74638.86234102258,0.48768267223382045,145.0204592901879,143.28434237995825,False,,0.1948511855004026,0.047981701557964974
universe,volume_floor_25m,2395,2020-01-01,2026-07-22,0.6945363766562735,0.0836961934096001,0.1992401222801009,0.502969769529328,0.5617310070981071,-0.46051340250207495,0.40678718971213634,0.6291481564143135,0.2551102796813858,0.35010955139849353,13.686007417029987,0.35286661008869163,0.013686007417029987,-0.0038169159940598064,72940.31164721157,6074.714220470274,0.4897703549060543,71.79874739039666,71.13319415448852,False,,0.19778853157099435,0.0467070819370145
universe,volume_floor_100m,2395,2020-01-01,2026-07-22,0.8179220670735408,0.09536658070217952,0.1887961881396619,0.576771414073687,0.5617735968966034,-0.35484951786300856,0.7459944688368731,0.3536150991661047,0.5922870911358262,0.14170495835443986,12.679227376256646,0.33147570965431356,0.012679227376256647,-0.017531854362827077,58529.69105414287,18776.78104468632,0.4663883089770355,28.248851774530273,28.35615866388309,False,,0.1973223518947421,0.04357272559469204
short_cap,short_cap_1pct,2395,2020-01-01,2026-07-22,1.9788147622269632,0.18098566163281027,0.18203863919164417,1.004608988257765,1.1375477359262967,-0.3397759436219261,0.8353785519782113,1.2515998761214366,0.6958573344986705,0.7565243854121493,11.071853575951403,0.31587918606506565,0.0110718535759514,0.009444910279957476,202902.0882649662,21171.68119390198,0.4906054279749478,145.0133611691023,143.28434237995825,False,,0.17364561852615606,0.04726275184321251
short_cap,short_cap_2pct,2395,2020-01-01,2026-07-22,2.098140343723318,0.18807598051601282,0.1817156905662604,1.0390091954473257,1.1739312421267771,-0.3204148498745557,0.82652308675397,1.3438273155698455,0.6771843634285755,0.8472270617822604,11.995389063073898,0.33139303851092505,0.011995389063073897,0.008369809180560985,199758.63506734953,35919.17248703813,0.4918580375782881,145.0133611691023,143.28434237995825,False,,0.17237326793616056,0.04725014533053116
short_cap,short_cap_5pct,2395,2020-01-01,2026-07-22,2.3997618899217863,0.20501705980243345,0.1872650070558629,1.0892681452483428,1.2269231902483657,-0.27713362342381853,0.8248917714651574,1.462066614824702,0.6916911539222199,1.0096823714183114,14.167561369386283,0.3659444896197994,0.014167561369386284,0.00670371045847049,198005.59145129003,68909.45551080296,0.4839248434237996,145.0204592901879,143.28434237995825,False,,0.17837049467677704,0.04751328942292094
short_cap,short_cap_10pct,2395,2020-01-01,2026-07-22,2.5557069880338297,0.21328150447024696,0.1954767544200678,1.086513629707568,1.2177685676940748,-0.28725337893484615,0.7422229843535575,1.5655910516513907,0.6187680692095974,1.196551226618888,15.955673558373833,0.3972743166925337,0.01595567355837383,0.004263924257345505,193281.39460793458,87978.22229574253,0.4826722338204593,145.0204592901879,143.28434237995825,False,,0.18886313773444477,0.047754180186872795
